DortyLogs Has started working, logs made at   Wed Sep 22 22:26:35 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 2 )
Krestik Winned the game. By the end of turn: 154, Reason: NormalWin4: 12 - 6
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 8 )
