DortyLogs Has started working, logs made at   Wed Sep 22 22:02:36 2021
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 11 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 12 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 1 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 4 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 0 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 9 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 7 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 2 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 6 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (5, 11 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 9 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (8, 12 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (14, 4 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 7 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (7, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (12, 8 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 10 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 8 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (3, 2 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 1 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (1, 0 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (9, 5 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 5 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (10, 13 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (0, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (4, 6 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (13, 14 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 14 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 13 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (6, 10 )
Nolik Made a turn, algoritmName: PLACEHOLDER, placed at (2, 3 )
Krestik Made a turn, algoritmName: PLACEHOLDER, placed at (11, 0 )
